key	0	1	2	3	4	5	6
193102	0.182	0.081	0.190	0.423	0.075	0.046	0.003
193103	0.156	0.094	0.191	0.426	0.053	0.076	0.003
193104	0.142	0.116	0.215	0.387	0.062	0.041	0.037
193105	0.147	0.146	0.189	0.398	0.041	0.039	0.041
193106	0.194	0.152	0.189	0.361	0.035	0.026	0.041
193107	0.225	0.126	0.169	0.366	0.045	0.036	0.034
193108	0.224	0.094	0.172	0.389	0.039	0.020	0.062
193109	0.183	0.127	0.218	0.357	0.069	0.009	0.037
193110	0.176	0.122	0.197	0.415	0.053	0.013	0.025
193111	0.123	0.153	0.119	0.482	0.057	0.037	0.029
193112	0.091	0.102	0.094	0.572	0.066	0.039	0.037
193201	0.056	0.086	0.103	0.508	0.158	0.049	0.039
193202	0.054	0.091	0.075	0.539	0.121	0.057	0.062
193203	0.031	0.070	0.062	0.656	0.081	0.064	0.036
193204	0.026	0.058	0.104	0.663	0.068	0.049	0.032
