key,0,1,2,3,4,5,6,row
192906,0,0.037,0.135,0.6,0.08,0.072,0.076,9
192907,0.012,0.045,0.092,0.594,0.122,0.084,0.051,9
192908,0.002,0.062,0.128,0.617,0.097,0.044,0.05,9
192909,0,0.083,0.058,0.632,0.113,0.054,0.059,9
192910,0.014,0.076,0.072,0.592,0.099,0.072,0.074,9
192911,0.056,0.059,0.094,0.535,0.102,0.071,0.083,9
192912,0.031,0.067,0.096,0.639,0.081,0.03,0.056,9
193001,0.035,0.051,0.066,0.654,0.088,0.046,0.059,8
193002,0.019,0.055,0.053,0.784,0.045,0.015,0.028,8
193003,0.021,0.039,0.095,0.765,0.044,0.008,0.028,8
193004,0.021,0.056,0.167,0.688,0.037,0.031,0,8
193005,0.001,0.027,0.205,0.688,0.046,0.029,0.004,8
193006,0.003,0.056,0.244,0.625,0.044,0.029,0,8
193007,0.027,0.149,0.255,0.472,0.056,0.041,0,8
193008,0.053,0.174,0.257,0.387,0.064,0.036,0.029,8
193009,0.071,0.116,0.326,0.356,0.079,0.033,0.019,8
193010,0.084,0.075,0.183,0.537,0.068,0.033,0.019,8
